"ID_aux";"CODIGO_UNIV";"VIA";"CODIGO";"PREFERENCIA";"PTJE_POND";"POND_ANYO_ACAD";"TIPO_MATRICULA"
"id_484743836";39;1;39103;1;508,88;1;1
"id_3193341220";42;1;42001;2;648;1;1
"id_9277942157";24;1;24067;2;615,8;1;1
"id_819608175963";16;1;16045;1;683,4;1;1
"id_784407879445";33;1;33160;1;544,1;1;1
"id_795707974576";12;1;12031;1;819,55;1;1
"id_451104575115";13;1;13041;1;695,65;1;1
"id_228102274814";12;1;12024;1;631,7;1;1
"id_202102076210";38;1;38005;3;626,75;1;1
"id_260902674092";26;1;26092;1;633,3;1;1
"id_382903876298";21;1;21031;1;568,9;1;1
"id_396403978644";16;1;16009;1;699;1;1
"id_369503672957";32;1;32005;1;520,6;1;1
"id_671606775162";26;1;26053;1;614,05;1;1
"id_884568873457";45;1;45028;1;517,15;1;1
"id_852168571214";22;1;22021;1;664,2;1;1
"id_950669577068";24;1;24040;2;578,9;1;1
"id_586465873643";22;1;22021;11;517,2;1;2
"id_578465779848";20;1;20007;2;592,75;1;1
"id_767667671768";26;1;26080;11;561,8;1;2
"id_418164177810";17;1;17827;3;505,15;1;1
"id_443864478385";14;1;14008;1;570,85;1;1
"id_403264078323";12;1;12024;1;683,85;1;1
"id_405264077523";20;1;20076;1;634,2;1;1
"id_221562273150";45;1;45020;2;685,3;1;1
"id_209362074935";27;1;27050;1;667,5;1;1
"id_390363970033";26;1;26034;1;627,1;1;1
"id_6863648296";19;1;19052;2;589,7;1;1
"id_8824988872434";14;1;14075;1;620,75;1;1
"id_8841988574170";19;1;19085;1;548,2;1;1
"id_8902989770215";45;1;45024;1;644,05;1;1
"id_8900989670050";11;1;11026;1;662,2;2;1
"id_8543985774340";13;1;13078;1;539,9;1;1
"id_8559985475927";22;1;22004;1;596,2;1;1
"id_8734987973480";14;1;14037;1;660,85;1;1
"id_8709987170975";45;1;45031;1;592,7;1;1
"id_8733987273324";39;1;39107;1;600,4;1;1
"id_8705987270537";38;1;38167;1;586,75;1;1
"id_8795987379552";41;1;41016;1;546,4;1;1
"id_8192981679230";22;1;22071;1;682,6;1;1
"id_8448984674870";17;1;17036;2;516,2;2;1
"id_8259982175961";41;1;41103;1;493;1;1
"id_8258982275837";26;1;26053;1;535,9;1;1
"id_8277982077773";22;1;22094;1;529,4;1;1
"id_8332983273208";26;1;26092;2;659,8;1;1
"id_8079980877954";21;1;21012;1;542,15;1;1
"id_8000980870007";14;1;14032;1;659,75;1;1
"id_8040980974075";14;1;14061;1;666,5;2;1
"id_8028980972885";25;1;25063;2;529,9;1;1
"id_8008980470846";16;1;16056;1;640,4;1;1
"id_8006980470607";20;1;20086;2;614,1;1;1
"id_8060980276072";18;1;18040;1;568,35;1;1
"id_8074980077454";26;1;26042;1;548,4;1;1
"id_8686986778629";11;1;11069;1;806,2;1;1
"id_8669986276967";11;1;11061;1;678,55;1;1
"id_8680986078080";25;1;25041;1;574,4;1;1
"id_8655986075501";11;1;11036;1;606,9;1;1
"id_8671986077183";32;1;32005;1;515,6;1;1
"id_8620986072002";35;1;35019;1;608,05;1;1
"id_9987999178778";13;1;13041;4;617;1;1
"id_9946999174652";41;1;41071;1;514,5;1;1
"id_9950999675025";21;1;21075;2;505,15;1;1
"id_9579995377974";37;1;37082;1;463,6;1;1
"id_9165991576500";32;1;32043;1;555,4;2;1
"id_9147991074728";16;1;16067;1;585,65;1;1
"id_9152991675254";13;1;13071;1;725,95;1;1
"id_9138991673808";13;1;13024;1;690,75;1;1
"id_9467994276791";29;1;29082;3;607,05;1;2
"id_9282992978292";22;1;22007;1;563,8;1;1
"id_9266992976696";26;1;26025;1;628,25;1;1
"id_9398993479863";19;1;19069;1;526,5;1;1
"id_9005990570537";19;1;19011;1;588,05;1;1
"id_9096990479658";41;1;41053;1;562;1;1
"id_9652996875270";34;1;34052;1;638,95;1;1
"id_9679996777993";22;1;22007;1;501;1;1
"id_9671996477101";13;1;13054;1;670,85;1;1
"id_5827958872786";19;1;19076;1;534,4;1;1
"id_5825958172527";13;1;13006;1;559,5;1;1
"id_5924959872403";17;1;17085;2;587,75;1;1
"id_5925959572538";33;1;33080;2;490,4;1;1
"id_5900959170005";17;1;17813;1;551,8;1;1
"id_5971959477189";19;1;19013;2;564,75;1;1
"id_5925959272582";20;1;20050;1;605,45;1;1
"id_5546955174685";21;1;21012;1;534,95;1;1
"id_5579955377914";16;1;16056;1;639,5;2;1
"id_5798957579884";36;1;36053;1;517,7;1;1
"id_5747957174787";33;1;33160;1;552,9;1;1
"id_5763957676381";23;1;23069;1;584,75;1;1
"id_5196951579629";32;1;32011;1;600,65;1;1
"id_5197951779750";37;1;37061;1;588,05;1;1
"id_5160951176032";41;1;41099;3;704,3;2;1
"id_5184951378472";17;1;17084;1;708,9;1;1
"id_5104951370425";25;1;25042;2;513,7;2;1
"id_5160951376076";41;1;41133;2;468,8;1;1
"id_5420954972000";36;1;36053;1;666,5;1;1
"id_5423954572325";36;1;36016;5;498,7;1;1
"id_5464954576409";41;1;41113;1;694,3;1;1
"id_5429954172954";11;1;11016;1;651,8;1;1
"id_5489954078900";20;1;20052;1;607,3;1;1
"id_5245952574558";15;1;15031;1;573,3;1;1
"id_5256952775654";45;1;45009;1;661,5;1;1
"id_5202952170244";45;1;45029;1;551,9;1;1
"id_5267952176770";21;1;21030;2;523,1;1;1
"id_5365953976506";26;1;26005;1;528,95;1;1
"id_5354953575458";43;1;43024;1;711,1;1;1
"id_5092950879212";27;1;27080;1;686,1;2;1
"id_5058950775837";22;1;22007;1;590,7;1;1
"id_5076950777682";22;1;22075;3;500,1;1;2
"id_5046950774647";17;1;17811;1;660;1;1
"id_5043950274314";25;1;25041;1;649,5;1;1
"id_5019950671970";33;1;33081;1;573,35;1;1
"id_5689956578939";29;1;29082;1;713,95;1;1
"id_5677956577766";30;1;30035;1;660,4;1;1
"id_5616956471649";26;1;26034;1;563,6;2;1
"id_5640956374018";17;1;17056;1;496,8;1;1
"id_7844978874451";22;1;22004;1;489,85;1;1
"id_7893978979382";18;1;18040;3;620,7;1;1
"id_7826978572628";40;1;40020;1;587;1;1
"id_7804978570427";18;1;18089;1;654,05;1;1
"id_7887978178725";20;1;20052;1;681,25;1;1
"id_7891978179180";37;1;37088;1;637,3;1;1
"id_7823978172358";39;1;39127;2;638,9;1;1
"id_7886978478616";26;1;26072;1;574,8;1;1
"id_7880978378071";21;1;21043;1;526,55;1;1
"id_7807978370749";19;1;19095;3;572,25;2;1
"id_7803978370335";13;1;13045;1;629,5;1;1
"id_94979844594";14;1;14064;1;591,4;1;1
"id_7931979873110";13;1;13032;1;503,1;1;1
"id_7982979978278";23;1;23018;3;500;1;1
"id_7945979374500";24;1;24073;1;543,15;1;1
"id_7902979370240";18;1;18092;1;515,1;1;1
"id_7972979077204";41;1;41043;1;607,9;1;1
"id_7912979071291";41;1;41056;1;744,3;2;1
"id_7593975979310";22;1;22075;2;613,05;1;2
"id_7514975571446";25;1;25066;1;550,5;1;1
"id_7512975571223";45;1;45019;1;657,6;1;1
"id_7577975177737";29;1;29078;1;554,5;1;1
"id_7546975374615";16;1;16087;1;588,1;1;1
"id_7567975376793";21;1;21047;3;547,95;2;1
"id_7559975675956";38;1;38005;1;724,6;1;1
"id_7749977874990";34;1;34026;1;668,1;1;1
"id_7761977976168";17;1;17077;1;601;1;1
"id_7778977777816";43;1;43023;1;623,6;1;1
"id_7729977772936";14;1;14004;1;593,1;1;1
"id_7708977370843";29;1;29076;1;582,7;1;1
"id_7725977072586";13;1;13092;1;497,75;1;1
